fold,kama_period,lookback_period,kama_buffer,top_n,is_objective,oos_cagr,oos_maxdd,oos_calmar
1,20,90,0.01,10,4.0526,0.4404,0.1525,2.8881
2,30,90,0.01,10,3.6954,-0.0911,0.2296,-0.3967
